provincia	population	population_male	population_women	gross_mortality_rate	fertility_rate	CPI	DIRCE_number_of_companies	DIRCE_industria	DIRCE_construccion	DIRCE_comercio_transporte_hosteleria	DIRCE_total_servicios	DIRCE_informacion_comunicaciones	DIRCE_actividades_financieras_seguros	DIRCE_actividades_inmobiliarias	DIRCE_actividades_profesionales_tecnicas	DIRCE_educacion_sanidad_servicios_sociales	DIRCE_otros_servicios	EPA_ratio_activo	EPA_ratio_desempleo	PIB_per_capita	CENSO_total_viviendas	CENSO_viviendas_principales	CENSO_viviendas_secundarias	CENSO_viviendas_vacias
Cantabria	591888	288643	303245	9.83	37.15	103.957	37190	2249	6249	15762	13877	393	826	1327	5565	2724	3042	56.42	20.06	22055	-	-	-	-
Castelló	601699	300992	300707	8.45	40.85	102.199	38732	2991	6395	16424	13938	407	829	1589	5616	2340	3157	60.44	28.93	22597	420421	233871	104547	82003
Ceuta	84180	43060	41120	5.78	54.3	101.631	3610	83	346	1975	1218	21	51	76	504	308	258	57.19	36.82	19555	26652	24904	413	1335
Ciudad Real	524962	260888	264074	10.12	39.25	102.658	29686	2725	5169	13682	9024	209	687	517	3739	1632	2240	54.41	29.8	18214	285971	198017	41522	46432
A Coruña	1138161	547079	591082	10.52	34.43	103.029	80215	5109	12795	33039	29465	1000	1938	1935	12709	5431	6452	56.05	20.06	21898	646613	440351	86193	120069
Cuenca	211899	107111	104788	11.6	33.95	102.56	13496	1395	2572	6294	3441	67	273	252	1283	587	979	54.17	26.46	18549	156495	83350	50739	22406
Cáceres	410275	203758	206517	11.03	32.01	102.757	24531	1888	4196	11392	7762	185	523	516	3053	1452	2033	52.72	31.51	15715	275857	165025	68756	42076
Cádiz	1238492	612770	625722	7.84	41.32	102.556	57313	2941	6502	27913	21671	492	1430	1994	9066	4218	4471	55.24	40.77	16916	618546	447975	94562	76009
Córdoba	802422	394189	408233	9.42	38.99	103.074	45306	4534	5959	21299	14809	362	977	1004	6542	2629	3295	57.3	37.04	16396	396085	296688	43721	55676
Gipuzkoa	713818	349551	364267	9.2	44.09	103.328	53631	5185	9382	20675	20332	959	909	1538	8416	3653	4857	55.95	12.75	31442	327952	286537	14985	26430
